id;provincia;localidad;Dirección;sucursal
1;BUENOS AIRES;Almirante Brown;Changomas - Avenida Espora  2074;299
2;BUENOS AIRES;Avellaneda;Walmart - Autopista Buenos Aires La Plata Km. 9 ;301
3;BUENOS AIRES;Avellaneda;Walmart - Güemes  861;316
4;BUENOS AIRES;Bahía Blanca;Walmart - Sarmiento  4114;318
5;BUENOS AIRES;Laferrere;Walmart - Ruta N°21  1150;357
6;BUENOS AIRES;San Justo;Walmart - Juan Manuel De Rosas  3990;403
7;BUENOS AIRES;La Tablada;Walmart - Monseñor Bufano  6050;375
8;BUENOS AIRES;La Plata;Walmart - Camino Centenario  1876;354
9;BUENOS AIRES;Lanús;Changomas - Bolevard De Los Italianos  321;379
10;BUENOS AIRES;Lomas de Zamora;Changomas - Cerriro  1800;342
11;BUENOS AIRES;Luján;Walmart - Payro  198;409
12;BUENOS AIRES;Malvinas Argentinas;Changomas - Avenida del Sequicentenario;359
13;BUENOS AIRES;Moreno;Changomas - Avenida Julio Roca  3500;298
14;BUENOS AIRES;Olavarría;Walmart - Rivadavia  4370;317
15;BUENOS AIRES;Pilar;Walmart - Ruta Panamericana Km. 52 ;332
16;BUENOS AIRES;Quilmes;Walmart - Avenida Calchaquí  700;335
17;BUENOS AIRES;San Fernando;Walmart - Camino Bancalari ;297
18;BUENOS AIRES;Tigre;Changomas - Colombia  1212;326
19;BUENOS AIRES;Caseros;Walmart - Avenida Justo Jose De Urquiza  4350;313
20;BUENOS AIRES;Tres de Febrero;Changomas - Avenida  Pte Juan Domingo Peron  9150;322
21;CATAMARCA;San Fernando del Valle de Catamarca;Changomas - Avenida Acosta Villafañez  2420;330
22;CHACO;Resistencia;Walmart - Ruta 11;336
23;CHUBUT;Comodoro Rivadavia;Walmart - Ruta Nacional N°3 (Km. 4, 4);347
24;CHUBUT;Puerto Madryn;Changomas - Juan B. Justo  1885;393
25;CHUBUT;Trelew;Changomas - Avenida Eva Peron  719;321
26;CIUDAD AUTÓNOMA DE BUENOS AIRES;DOT Baires;Walmart - Arias  3771;306
27;CIUDAD AUTÓNOMA DE BUENOS AIRES;Constituyentes;Walmart - Albarellos  2565;310
28;CORDOBA;Cordoba Capital;Walmart - Avenida Colón  6051;305
29;CORDOBA;Cordoba Capital;Changomas - Avenida Fuerza Aerea  4372;361
30;CORDOBA;Cordoba Capital;Walmart - Avenida Circunvalación  2557;353
31;CORDOBA;Cordoba Capital;Walmart - Mauricio Yadarola  1699;355
32;CORDOBA;Río Cuarto;Walmart - Juan B. Justo  2052;394
33;CORDOBA;Villa Nueva;Changomas - Avenida Carranza  980;307
34;CORRIENTES;Corrientes;Walmart - Avenida  Del Iv Centenario  3550;309
35;CORRIENTES;Corrientes;Changomas - Avenida Maipu  2803;312
36;ENTRE RIOS;Paraná;Walmart - Avenida F Arias De Larramendi  1490;314
37;ENTRE RIOS;Paraná;Changomas - Alte. G. Brown  1779;365
38;FORMOSA;Formosa;Changomas - Avenida Gutnisky  3636;329
39;JUJUY;San Pedro;Changomas - San Gabriel  712;378
40;JUJUY;San Salvador de Jujuy;Changomas - Riobamba;381
41;LA PAMPA;Santa Rosa;Changomas - Av. Circunvalación Santiago Marzo  1550;391
42;LA RIOJA;La Rioja;Changomas - Avenida Ortiz de Ocampo  1187;315
43;MENDOZA;Godoy Cruz;Walmart - San Martin Sur  3575;304
44;MENDOZA;Guaymallén;Walmart - Cnel. José Moldes 1023;303
45;MENDOZA;Las Heras;Walmart - Avenida Boulogne Sur Mer  1301;343
46;MENDOZA;Maipú;Changomas - Maza;366
47;MENDOZA;San Martín;Changomas - Boulogne Sur Mer  700;367
48;MISIONES;Posadas;Changomas - Avenida Tambor De Tacuari  5158;369
49;MISIONES;Posadas;Changomas - Avenida Alicia Moreau De Justo;368
50;NEUQUEN;Neuquén;Walmart - Eugenio Perticone  1255;327
51;NEUQUEN;Neuquén;Changomas - Gral Manuel Belgrano  2735;380
52;RIO NEGRO;Cipoletti;Changomas - Bolivia  1169;402
53;RIO NEGRO;Viedma;Changomas - Tierra Del Fuego  514;302
54;SALTA;Salta;Changomas - Avenida Paraguay  1260;328
55;SAN JUAN;San Juan;Walmart - Avenida Ignacio De La Roza  806;399
56;SAN LUIS;San Luis;Walmart - Avenida Del Fundador  1450;351
57;SAN LUIS;Villa Mercedes;Changomas - Pte. J. D. Perón  825;376
58;SANTA FE;Santa Fe;Walmart - Ruta 168  Km 473  473;358
59;SANTIAGO DEL ESTERO;Santiago del Estero;Changomas - Colectora Circunvalación;323
60;TUCUMAN;Banda del Río Salí;Changomas - Avenida San Martín;373
61;TUCUMAN;Concepción;Changomas - Avenida Güemes;331
62;TUCUMAN;San Miguel de Tucumán;Walmart - Camino del Perú  950;311
63;TUCUMAN;San Miguel de Tucumán;Changomas - Avenida Ejército del Norte 2200;333
64;BUENOS AIRES;Claypole;Changomas - Av Lacaze 3963;320
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
